northing,easting,scr_no,ohl_length_meter,ohl_progress,engg_kpi_after_rig-off_days,access_road_5,earth_work_60,cellar_20,beam_pump_base_esp_pcp_foundation_5,earthing_1,water_2,hdpe_liner_instalat_4,sleeper_pre_cast_ins_15,cs_pipe_welding_ndt_10_rt_for_op_100_for_60,pe_fussion_pull_20,final_hydro_t_3,mechani_60,days_since_start,start_month,start_quarter,rig_duration_days,days_to_rig_off_exp,week_index,dist_from_centroid,geo_quadrant,geo_angle,loc_prep_composite,progress_lag1,progress_lag2,progress_lag4,progress_velocity_1w,progress_velocity_2w,progress_accel,progress_rolling3w,remaining_to_complete,momentum_score,rig_no_te,rig_no_cnt,project_id_te,project_id_cnt,project_code_te,project_code_cnt,well_type_te,well_type_cnt,completion_type_rig_fbu_or_rsr_hoist_te,completion_type_rig_fbu_or_rsr_hoist_cnt,week_hist_mean,week_hist_std,rig_no_enc,well_type_enc,project_code_enc,project_name_enc,fl_dia_enc,completion_type_rig_fbu_or_rsr_hoist_enc,flow_line_const._status_in_progress_completed_enc,physical_tie_in_port_available_when_flaf_issued_enc,location_preparation_status_in_progress_completed_enc,pred
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009783820084034889,0.017604280901836585,0.0,0.0,0.0,0.0,0.0,0.0,0.06604192459885863,0.0,0.0,0.0,0.0,0.0760151874229272,0.14931418794263052,0.01631232133888168,0.008220202272431143,0.0,0.0,0.0,0.07964887563746506,0.13862827672398334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020696974999584512,0.0,0.0,0.99879545
0.0,0.0,0.0,0.0,0.0,0.0,0.01396628332639903,0.0,0.0,0.0,0.0,0.018654575580989517,0.01583300203052645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05633899543783773,0.0,0.0,0.0,0.0,0.08704322761746051,0.1251496927181474,0.0,0.012953973157685539,0.0,0.0,0.0,0.06222533959188825,0.12704190486224473,0.0,0.0,0.012159253960996276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94789565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006442797607398576,0.0,0.0,0.026936146209814323,0.0,0.0,0.0,0.0,0.07020875129124524,0.0,0.0,0.0,0.0,0.07547501119955734,0.1140062140848369,0.011650634446363104,0.008872630555271648,0.0,0.0,0.0,0.05041427680112722,0.10404069764395672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010260046944512925,0.0,0.0,0.0,0.0,0.0,0.0,0.8948366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060276793381702096,-0.11275092675971381,-0.021016184533432784,0.0,0.0,0.0,0.0,-0.046410790246105144,-0.08553585465466014,0.0,-0.017337053763535233,0.0,-0.020582075279619486,0.0,0.0,0.0,0.0,0.0,0.0,-0.016970956177160212,0.0,0.0,0.0,0.0,-0.01835049566162597,0.0,0.0,0.0,-0.017080079327207606,0.0,0.0,0.00021818824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014537807029129433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041435390753617546,0.0,0.0,0.0,0.0,0.03455290103622956,0.06015291179252395,0.0,0.0,0.0,0.0,0.0,0.023656376595897793,0.034947616175195304,0.012450445406302146,0.021550555574398052,0.0,0.006890668145901622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025126222129402964,0.0,0.5863459
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04121801527695796,0.0,0.0,0.0,0.0,0.0,0.008867923267523246,0.038914093897442666,0.0,0.0,0.0,0.0,-0.009306734589696615,0.02725397757221134,0.0,0.0,0.0,0.014617672616427789,0.0,0.0,0.0,0.0,0.0,-0.008486851390457021,-0.016219447659143182,0.0,0.0,0.0,0.0,0.0,0.0,-0.015891984615611705,0.0,0.0,0.0,0.0,-0.013504916099108378,0.0,0.0,0.0,0.0,0.0,0.0,0.48399115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048091774579960375,0.0,0.0,-0.006252198330827727,0.0,0.0,0.06635019607442877,0.0,0.0,0.0,0.0,0.0,0.016945734461127446,0.018422856784968657,0.0,0.0,-0.013988217349661632,-0.023558295374372023,0.0,0.0,0.0,0.0,0.0,0.0,-0.012876850849598276,0.0,0.0,0.0,-0.008664039151219355,-0.01418982346341698,0.0,0.0,0.0,0.0,0.0,0.0,0.48681054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004201735219802125,0.0,0.0,0.0,-0.009430124236389854,0.0,-0.0024007595814921068,0.0,0.0,0.0,0.0,-0.05456891401235501,0.0,0.0,0.0,0.0,-0.07191134746451838,-0.038285277869173344,0.0,0.0,0.0,0.0,0.0,-0.022494362509736094,-0.08015764696076653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004895671947473921,0.0,0.0,0.0,0.0,-0.004229194842107125,0.0,0.0,0.0,0.0,0.0,0.0,0.12395437
0.0,0.0,0.0,0.0,0.0,0.0,0.004990791798312855,0.0,0.0,0.0,0.0,0.013855056167828247,0.015283847645726363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04432530301246664,0.0,0.0,0.0,0.0,0.07411122176787192,0.10677527665096766,0.00784142743148211,0.0,0.0,0.0,0.0,0.04590103882736088,0.10349971614179387,0.0,0.0,0.0,0.011910435585360112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450235
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006555190154399062,0.03727629499168586,0.006292733200415368,0.0,0.0,0.0,0.0,0.0,-0.030945818241456924,0.0,0.0,0.0,0.0,0.058316569637803746,0.05085368790605905,0.0,0.0,0.0,0.0,0.0,0.017281477817115302,0.019183283958469067,0.0,0.00406570054025085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010955324711493403,0.0,0.0,0.0,0.0,0.0,0.0,0.59636384
